"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Steyer","Gabbard","Harris","O'Rourke","Yang","Booker","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe"
"32","126055","poll","Politico/Morning Consult","1/15 - 1/19","","12402 LV","","",Biden,,+5.0,#009900,2020-02-19 08:52:58,"https://morningconsult.com/2020-democratic-primary/",2020-01-15,2020-01-19,"1","Biden","","+5.0","#009900",24.0,29.0,10.0,15.0, 8.0,3.0,3.0,2.0,NA,NA, 4.0,NA,1.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","126020","poll","SurveyUSA","1/14 - 1/16","","1086 LV","3.6","",Biden,,+11.0,#009900,2020-01-17 23:08:44,"http://www.surveyusa.com/client/PollReport.aspx?g=b4747822-277e-4d2c-b896-eb4e04672c09",2020-01-14,2020-01-16,"1","Biden","","+11.0","#009900",21.0,32.0, 9.0,14.0, 9.0,2.0,3.0,2.0,NA,NA, 4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","125942","poll","The Hill/HarrisX","1/13 - 1/14","","451 RV","4.6","",Biden,,+10.0,#009900,2020-01-20 11:57:35,"https://thehill.com/hilltv/rising/478208-sanders-hits-highest-support-since-august",2020-01-13,2020-01-14,"1","Biden","","+10.0","#009900",19.0,29.0, 7.0,11.0, 4.0,3.0,3.0,1.0,NA,NA, 2.0,NA,2.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","125964","poll","Economist/YouGov","1/11 - 1/14","","521 RV","","",Biden,,+7.0,#009900,2020-01-15 10:05:45,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ueji3eha6i/econTabReport.pdf",2020-01-11,2020-01-14,"1","Biden","","+7.0","#009900",20.0,27.0, 5.0,19.0, 7.0,3.0,1.0,2.0,NA,NA, 3.0, 2.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","125917","poll","Quinnipiac","1/8 - 1/12","","651 RV","3.8","",Biden,,+6.0,#009900,2020-01-13 15:06:37,"https://poll.qu.edu/national/release-detail?ReleaseID=3653",2020-01-08,2020-01-12,"1","Biden","","+6.0","#009900",19.0,25.0, 6.0,16.0, 8.0,4.0,1.0,1.0,NA,NA, 5.0, 1.0,1.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","125937","poll","Politico/Morning Consult","1/6 - 1/12","","17096 RV","","",Biden,,+6.0,#009900,2020-02-03 14:58:46,"https://morningconsult.com/2020-democratic-primary/",2020-01-06,2020-01-12,"1","Biden","","+6.0","#009900",23.0,29.0, 8.0,14.0, 8.0,3.0,4.0,2.0,NA,NA, 5.0, 2.0,1.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","125935","poll","IBD/TIPP","1/3 - 1/11","","333 RV","","",Biden,,+6.0,#009900,2020-01-14 10:20:23,"https://www.investors.com/politics/joe-biden-leads-democratic-race-loses-electability-edge-vs-president-trump-ibd-tipp-poll/",2020-01-03,2020-01-11,"1","Biden","","+6.0","#009900",15.0,26.0, 7.0,20.0, 9.0,3.0,2.0,1.0,NA,NA, 3.0, 0.0,0.0,0.0,1.0,NA, 1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","125814","poll","Economist/YouGov","1/5 - 1/7","","574 RV","","",Biden,,+5.0,#009900,2020-01-08 10:59:52,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6s5t9qkjll/econTabReport.pdf",2020-01-05,2020-01-07,"1","Biden","","+5.0","#009900",20.0,27.0, 3.0,22.0, 7.0,3.0,2.0,3.0,NA,NA, 3.0, 1.0,0.0,0.0,0.0,NA, 0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","125796","poll","Politico/Morning Consult","12/30 - 1/5","","17213 RV","","",Biden,,+8.0,#009900,2020-02-19 08:53:43,"https://morningconsult.com/2020-democratic-primary/",2019-12-30,2020-01-05,"1","Biden","","+8.0","#009900",23.0,31.0, 7.0,14.0, 8.0,3.0,4.0,2.0,NA,NA, 4.0, 2.0,1.0,0.0,1.0,NA, 1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","125769","poll","Harvard-Harris","12/27 - 12/29","","756 RV","","",Biden,,+13.0,#009900,2020-01-04 11:06:12,"https://harvardharrispoll.com/wp-content/uploads/2020/01/HHP_December2019_RegisteredVoters_Topline.pdf",2019-12-27,2019-12-29,"1","Biden","","+13.0","#009900",17.0,30.0, 7.0,12.0, 7.0,2.0,2.0,1.0,NA,NA, 3.0, 2.0,NA,NA,1.0,1.0, 0.0,NA,NA, 1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
