"","fips","name","votes","reporting","precincts","results.bidenj","results.bloombergm","results.sandersb","results.warrene","results.klobuchara","results.buttigiegp","results.steyert","results.gabbardt","results.boydm","results.delaneyj","results.bullocks","results.castroj","results.bennetm","results.harrisk","results.williamsonm","results.bookerc","results.sestakj","results.yanga"
"15","05029","Conway", 2125, 31, 31,  972,  369,  359,  124,   61,   68,   52,   27,   22,   10,    6,    1,    3,   26,    3,    6,   10,    6
"16","05031","Craighead", 5106, 53, 53, 1844,  873, 1393,  486,  166,  198,   31,   26,    2,    3,   21,    9,    3,   13,    6,    8,    2,   22
"17","05033","Crawford", 2791, 43, 43, 1058,  568,  622,  218,   80,   71,   56,   30,   23,    2,    4,    5,    7,    9,   11,    7,    6,   14
"18","05035","Crittenden", 3127, 25, 25, 1671,  571,  495,  144,   68,   42,   20,   21,    6,    7,    7,    6,    9,   10,   12,    8,   11,   19
"19","05037","Cross",  888, 22, 22,  429,  161,  149,   44,   22,   36,    8,    4,    2,    4,    3,    1,    4,    8,    2,    5,    3,    3
"20","05039","Dallas",  652,  9,  9,  350,  108,   58,   18,   28,    7,   17,   12,   10,    3,   10,    4,    1,    5,    2,   12,    3,    4
"21","05041","Desha", 1226, 21, 21,  640,  227,  173,   45,   29,   16,   23,    6,    5,    2,    7,    1,   13,   12,    6,   13,    3,    5
"22","05043","Drew", 1407, 19, 19,  654,  264,  224,   81,   71,   23,   14,   10,    3,    4,   17,    1,    6,    5,    7,    7,   11,    5
"23","05045","Faulkner", 8914, 51, 51, 3054, 1221, 2499, 1293,  317,  294,   57,   54,   11,    5,   19,    6,   13,   21,   12,    8,    6,   24
"24","05047","Franklin",  981, 39, 39,  355,  246,  147,   72,   41,   32,   19,   13,    4,    7,    2,    4,    5,   11,    6,   11,    4,    2
"25","05049","Fulton",  814, 13, 13,  331,  160,  154,   56,   28,   25,   12,    6,    1,    9,    3,    2,   12,    1,    0,    3,    3,    8
"26","05051","Garland", 7562, 56, 56, 2767, 1493, 1597,  652,  383,  386,   85,   46,    6,   19,    7,    6,    5,   19,   33,   20,    9,   29
"27","05053","Grant",  969, 21, 21,  353,  191,  171,   85,   55,   54,   16,   10,    3,    2,    6,    1,    6,    3,    4,    3,    2,    4
"28","05055","Greene", 1846, 38, 38,  646,  426,  398,  132,   56,   82,   24,   15,    0,   10,   12,    0,    7,    3,    5,   11,    4,   15
"29","05057","Hempstead",  986, 24, 24,  548,  149,  128,   42,   28,   15,   10,    8,    2,   10,   15,    4,    4,    9,    9,    2,    2,    1
"30","05059","Hot Spring", 1885, 31, 31,  735,  344,  452,  111,   85,   43,   26,   11,    5,   14,    3,    7,   12,    5,    9,    9,    3,   11
"31","05061","Howard",  675, 35, 35,  354,   81,  103,   37,   29,   18,   12,    6,    4,    0,    5,    3,    5,    7,    3,    3,    2,    3
"32","05063","Independence", 1930, 34, 34,  796,  338,  353,  200,   79,   61,   24,   28,    5,    2,    5,    2,    4,    7,    9,    8,    2,    7
"33","05065","Izard",  790, 49, 49,  356,  120,  143,   64,   41,   34,    2,    6,    5,    1,    2,    1,    1,    3,    2,    2,    1,    6
"34","05067","Jackson", 1006, 13, 13,  466,  193,  163,   57,   31,   35,    7,   12,    2,   11,    5,    1,    9,    5,    1,    2,    4,    2
