"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"74","48147","Fannin",   972, 17, 17,   411,   188,   180,    79,    52,    23,    17,     0,     2,     3,     5,     5,     2,     0,     1,     3,     1
"75","48149","Fayette",  1230, 13, 13,   529,   228,   235,   117,    41,    39,    13,     1,     4,     1,     0,     6,     2,    11,     2,     0,     1
"76","48151","Fisher",   161,  5,  5,    81,    29,    18,    10,     6,     8,     6,     0,     0,     0,     0,     2,     0,     0,     0,     0,     1
"77","48153","Floyd",   113,  2,  2,    53,    22,    17,     7,     5,     2,     1,     0,     1,     1,     0,     0,     0,     3,     0,     1,     0
"78","48155","Foard",    30,  5,  5,    15,     7,     2,     4,     0,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"79","48157","Fort Bend", 69540, 79, 79, 29189, 18285, 10459,  6060,  2227,  1203,   452,   489,   152,    51,    22,   397,   334,    91,    44,    49,    36
"80","48159","Franklin",   370,  9,  9,   187,    57,    69,    22,    17,    10,     0,     0,     0,     0,     1,     1,     0,     3,     2,     0,     1
"81","48161","Freestone",   684, 15, 15,   329,   167,   106,    38,    10,    11,     8,     1,     2,     1,     2,     1,     3,     3,     1,     1,     0
"82","48163","Frio",  2535, 10, 10,   515,   695,   540,   153,    44,    74,    57,    19,   265,    44,    19,    33,    27,    13,     9,    19,     9
"83","48165","Gaines",   180,  7,  7,    71,    46,    31,    14,     2,     1,     0,     1,     4,     5,     0,     1,     1,     1,     2,     0,     0
"84","48167","Galveston", 22044, 42, 42,  9120,  5418,  2911,  2425,  1022,   537,   185,    31,   101,     5,     8,    77,    50,   114,    18,    10,    12
"85","48169","Garza",    95,  7,  7,    40,    21,    20,     8,     4,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"86","48171","Gillespie",  1506, 12, 12,   616,   265,   258,   170,    79,    88,    14,     0,     1,     1,     1,     4,     2,     4,     2,     0,     1
"87","48173","Glasscock",    13,  5,  5,     3,     6,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"88","48175","Goliad",   380, 10, 10,   187,    63,    66,    26,    14,     6,     3,     0,     7,     1,     2,     1,     0,     3,     1,     0,     0
"89","48177","Gonzales",   629, 16, 16,   239,   129,   135,    40,    26,     8,     9,     2,    14,     1,     2,     3,     3,     3,     9,     2,     4
"90","48179","Gray",   275,  8,  8,   117,    79,    38,    20,     7,     8,     1,     1,     1,     1,     0,     1,     0,     0,     1,     0,     0
"91","48181","Grayson",  5912, 24, 24,  2365,  1542,  1015,   510,   237,   141,    28,     9,     6,     3,     4,    20,    14,     5,     5,     5,     3
"92","48183","Gregg",  5480, 19, 19,  2856,  1089,   785,   343,   161,    98,    24,    18,    12,     5,     9,    23,    11,    27,    13,     5,     1
"93","48185","Grimes",  1109, 16, 16,   503,   246,   177,    90,    22,    11,    16,     4,     3,     6,     5,     2,     9,     2,     2,     1,    10
"94","48187","Guadalupe", 10030, 35, 35,  3799,  2833,  1397,  1085,   400,   247,    87,     8,    65,     3,    12,    37,    25,    15,     9,     7,     1
"95","48189","Hale",   645, 31, 31,   242,   169,   111,    47,    25,    18,     3,     2,    10,     2,     0,     3,     3,     7,     3,     0,     0
"96","48191","Hall",    84,  8,  8,    41,    18,    20,     0,     1,     0,     1,     0,     1,     0,     0,     1,     0,     0,     1,     0,     0
"97","48193","Hamilton",   240,  5,  5,   118,    42,    41,    23,     6,     9,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"98","48195","Hansford",    23,  9,  9,     8,    12,     0,     0,     0,     0,     0,     0,     2,     0,     0,     0,     0,     1,     0,     0,     0
"99","48197","Hardeman",   123,  5,  5,    59,    20,    19,     3,     6,     7,     4,     2,     0,     0,     0,     1,     0,     0,     0,     0,     2
"100","48199","Hardin",  1409, 20, 20,   688,   282,   222,    88,    48,    28,     3,     2,     9,     1,     2,     4,     7,     4,     2,    19,     0
"101","48201","Harris",321903,401,401,121211, 91900, 47200, 35761, 10458,  6054,  2057,   591,   695,   276,   130,   997,   915,  2629,   341,   379,   309
"102","48203","Harrison",  3320, 27, 27,  1657,   615,   608,   202,    80,    74,    16,    14,     4,     6,     3,    13,     2,     7,     9,     7,     3
"103","48205","Hartley",    68,  7,  7,    36,    11,    12,     7,     1,     0,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0
"104","48207","Haskell",   174, 11, 11,   104,    20,    15,    12,     3,     8,     5,     1,     5,     0,     0,     0,     0,     1,     0,     0,     0
"105","48209","Hays", 25236, 37, 37,  7028,  9772,  2119,  3852,  1228,   724,   199,    11,   102,     8,     8,   111,    46,    12,     9,     3,     4
"106","48211","Hemphill",    74,  9,  9,    39,     8,    14,     6,     3,     2,     0,     0,     0,     0,     0,     2,     0,     0,     0,     0,     0
"107","48213","Henderson",  3002, 25, 25,  1378,   589,   529,   221,   126,    64,    41,     3,     1,     4,     1,    15,     2,    10,     8,     8,     2
"108","48215","Hidalgo", 59252, 74, 74, 15877, 16683, 15106,  3872,  1745,   609,   171,   247,  2396,   424,    70,   719,   309,   769,   120,    59,    76
"109","48217","Hill",  1273, 23, 23,   556,   284,   248,    88,    53,    22,    10,     0,     2,     0,     0,     2,     2,     3,     0,     3,     0
"110","48219","Hockley",   391, 11, 11,   160,   110,    72,    30,     8,     5,     1,     0,     1,     0,     0,     2,     1,     0,     0,     1,     0
"111","48221","Hood",  2388, 11, 11,   940,   508,   453,   214,   134,    85,    26,     1,     4,     1,     1,     7,     2,     8,     3,     1,     0
"112","48223","Hopkins",  1219, 14, 14,   562,   269,   203,    93,    30,    22,    16,     4,     2,     1,     2,     4,     2,     1,     3,     1,     4
"113","48225","Houston",   854, 22, 22,   416,   146,   113,    46,    15,    17,     5,     6,     4,     9,     2,     5,     2,    55,     7,     3,     3
"114","48227","Howard",   778,  4,  4,   297,   166,   172,    71,    36,    13,     4,     0,     4,     6,     0,     3,     4,     0,     1,     1,     0
"115","48229","Hudspeth",   339,  6,  6,    92,    88,    52,    12,    12,     7,     3,     6,    11,    17,     6,    12,     6,     8,     3,     2,     2
"116","48231","Hunt",  3262, 35, 35,  1281,  1015,   467,   266,    91,    65,    27,     6,     9,     2,     0,     9,     7,     6,     4,     6,     1
"117","48233","Hutchinson",   353,  9,  9,   129,    89,    75,    30,    16,     2,     4,     2,     1,     0,     1,     1,     2,     0,     0,     1,     0
"118","48235","Irion",    53,  5,  5,    21,    16,     6,     5,     2,     0,     0,     0,     0,     0,     1,     0,     0,     2,     0,     0,     0
"119","48237","Jack",   175,  5,  5,    79,    33,    35,    11,     4,     6,     3,     0,     0,     0,     0,     1,     0,     2,     1,     0,     0
"120","48239","Jackson",   368, 10, 10,   192,    60,    54,    23,     7,     9,     5,     1,     3,     0,     0,     4,     3,     4,     2,     1,     0
"121","48241","Jasper",  1301, 21, 21,   667,   217,   262,    61,    31,    21,     6,     7,     0,     1,     2,     3,     4,    15,     1,     1,     2
"122","48243","Jeff Davis",   329,  6,  6,   119,    80,    35,    58,    15,    12,     0,     0,     2,     1,     3,     3,     0,     0,     0,     1,     0
"123","48245","Jefferson", 20167, 44, 44,  9768,  3974,  3777,  1077,   473,   248,   101,   155,    46,    39,    28,    55,    96,   241,    45,    28,    16
"124","48247","Jim Hogg",  1231,  6,  6,   288,   343,   299,    60,    37,    24,    14,     3,    42,    46,     4,    15,     8,    44,     1,     3,     0
"125","48249","Jim Wells",  4699, 22, 22,  1617,  1043,  1018,   267,   140,    82,    48,     7,   146,   118,    42,    43,    33,    46,    30,    16,     3
"126","48251","Johnson",  6166, 37, 37,  2317,  1775,   934,   574,   275,   125,    87,     7,     9,     4,     0,    31,    14,     7,     1,     4,     2
"127","48253","Jones",   336,  8,  8,   155,    83,    43,    29,    10,     8,     1,     0,     1,     0,     0,     1,     1,     1,     1,     2,     0
"128","48255","Karnes",   616, 16, 16,   209,   147,   126,    31,    12,    12,    12,     4,    31,     7,     2,     6,     9,     3,     1,     4,     0
"129","48257","Kaufman",  5525, 28, 28,  2341,  1482,   814,   431,   181,    74,    57,     6,     6,    13,     3,    19,     8,    53,    30,     3,     4
"130","48259","Kendall",  2566, 11, 11,   918,   548,   432,   306,   168,   123,    20,     0,    17,     1,     1,    15,     9,     4,     3,     0,     1
"131","48261","Kenedy",   116,  5,  5,    30,    22,    23,     7,     5,     4,     1,     0,     1,     6,     0,     1,     1,     6,     3,     6,     0
"132","48263","Kent",    42,  7,  7,    14,     4,    14,     2,     2,     6,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"133","48265","Kerr",  2799, 21, 21,  1049,   627,   452,   349,   136,   106,    33,     2,    15,     2,     0,    17,     7,     1,     3,     0,     0
"134","48267","Kimble",   102,  8,  8,    41,    27,    14,    10,     5,     3,     0,     0,     1,     1,     0,     0,     0,     0,     0,     0,     0
"135","48269","King",     2,  5,  5,     0,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"136","48271","Kinney",   145,  5,  5,    58,    23,    29,    13,     4,     4,     1,     0,     3,     3,     2,     0,     4,     0,     1,     0,     0
"137","48273","Kleberg",  2469, 19, 19,   946,   626,   451,   162,    84,    36,     8,     4,    61,    26,     2,    17,    12,    26,     6,     1,     1
"138","48275","Knox",    74,  7,  7,    48,    13,     5,     6,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"139","48283","La Salle",  1228,  7,  7,   262,   291,   248,    91,    20,    13,    18,    13,   143,    41,    11,    35,     9,    14,    13,     3,     3
"140","48285","La Vaca",   558, 10, 10,   234,   103,    96,    55,    26,    16,     8,     3,     3,     0,     1,     4,     0,     5,     1,     3,     0
"141","48277","Lamar",  1842, 27, 27,   862,   389,   302,   137,    72,    30,    18,     3,     1,     3,     2,     9,     5,     1,     4,     2,     2
"142","48279","Lamb",   291, 12, 12,   117,    75,    69,    13,     6,     4,     1,     0,     0,     2,     0,     1,     2,     1,     0,     0,     0
"143","48281","Lampasas",   883,  6,  6,   359,   181,   130,   115,    36,    34,     5,     5,     0,     4,     0,     4,     5,     0,     3,     0,     2
"144","48287","Lee",   699,  9,  9,   332,   152,   113,    55,    19,    13,     6,     1,     0,     1,     2,     0,     2,     1,     0,     2,     0
"145","48289","Leon",   437, 18, 18,   243,    67,    69,    23,    16,     9,     2,     0,     0,     2,     1,     0,     1,     0,     2,     2,     0
"146","48291","Liberty",  1814, 31, 31,   787,   468,   321,   120,    43,    24,    28,     2,     2,     4,     0,     3,     3,     3,     4,     2,     0
"147","48293","Limestone",   773, 21, 21,   353,   163,   153,    41,    24,    19,     4,     1,     1,     1,     0,     1,     0,     6,     2,     2,     2
"148","48295","Lipscomb",    49,  8,  8,    18,     9,     7,     7,     3,     3,     0,     1,     0,     0,     0,     0,     0,     0,     0,     1,     0
"149","48297","Live Oak",   318, 15, 15,   164,    48,    57,    18,     6,     6,     4,     1,     6,     1,     0,     3,     1,     0,     0,     0,     3
"150","48299","Llano",  1310,  9,  9,   524,   243,   243,   120,    79,    64,    25,     3,     0,     0,     1,     4,     1,     0,     0,     2,     1
"151","48301","Loving",     9,  5,  5,     0,     4,     2,     0,     2,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"152","48303","Lubbock", 14574, 38, 38,  4457,  4566,  1796,  1769,   697,   516,    43,    94,   305,     9,    22,    93,    44,    15,    48,    93,     7
"153","48305","Lynn",    73, 11, 11,    36,    14,    17,     2,     2,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,     0
"154","48313","Madison",   306,  6,  6,   159,    76,    32,    20,     7,     2,     2,     1,     0,     1,     0,     1,     1,     1,     1,     1,     1
"155","48315","Marion",   619,  8,  8,   371,   106,    82,    32,     3,     7,     6,     2,     0,     0,     1,     0,     1,     4,     2,     1,     1
"156","48317","Martin",    52,  6,  6,    16,    20,     4,     3,     5,     1,     0,     1,     1,     0,     0,     0,     0,     0,     0,     0,     1
"157","48319","Mason",   359,  5,  5,   118,    53,    72,    22,    25,    26,    30,     0,     3,     0,     6,     2,     2,     0,     0,     0,     0
