"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bennetm","results.steyert","results.delaneyj","results.yanga","results.bloombergm","results.warrene","results.gabbardt","results.klobuchara","results.buttigiegp","results.patrickd"
"99","13199","Meriwether",  2252, 14, 14,  1955,   134,    37,     6,     6,    23,    26,    28,     9,    13,    12,     3
"100","13201","Miller",   490,  1,  1,   334,    57,    19,     1,     6,    23,     9,    19,     9,     7,     4,     2
"101","13205","Mitchell",  1728, 10, 11,  1532,   106,    17,     2,     5,    17,    15,    21,     1,     3,     7,     2
"102","13207","Monroe",  1944, 14, 14,  1737,   126,    14,     0,     3,    11,    12,    25,     3,     6,     5,     2
"103","13209","Montgomery",   396,  7,  7,   350,    22,     1,     5,     1,     3,     1,     8,     0,     4,     1,     0
"104","13211","Morgan",  1348,  7,  7,  1196,    87,     7,     1,     1,     4,    14,    27,     0,     5,     5,     1
"105","13213","Murray",   662,  7,  7,   514,   109,     6,     1,     4,     1,     7,     8,     3,     3,     6,     0
"106","13215","Muscogee", 20807, 25, 25, 18246,  1513,   105,    28,    29,   163,   178,   260,    92,    85,    93,    15
"107","13217","Newton", 14321, 22, 22, 12915,   907,    65,    11,    16,    62,   112,   128,    29,    26,    33,    17
"108","13219","Oconee",  3114, 12, 12,  2441,   414,     9,     3,     2,    30,    11,   124,    15,    25,    39,     1
"109","13221","Oglethorpe",  1047,  3,  3,   862,   121,     4,     2,     2,     2,    12,    30,     4,     2,     5,     1
"110","13223","Paulding", 11566, 19, 19, 10050,  1037,    24,     9,    12,    93,    64,   138,    37,    31,    59,    12
"111","13225","Peach",  2150,  0,  7,  1927,   128,    11,     3,     3,    11,    23,    25,    11,     3,     4,     1
"112","13227","Pickens",   925, 12, 12,   787,    81,     4,     0,     0,     7,     3,    22,     3,     8,     9,     1
"113","13229","Pierce",   417,  8,  8,   360,    28,     6,     1,     1,     2,     3,     8,     4,     2,     1,     1
"114","13231","Pike",   665,  9,  9,   573,    64,     3,     2,     2,     4,     5,     6,     0,     0,     5,     1
"115","13233","Polk",  1327,  7,  7,  1148,   107,    15,     0,     4,     8,    15,    15,     3,     7,     5,     0
"116","13235","Pulaski",   318,  1,  1,   282,    18,     2,     2,     0,     1,     5,     5,     1,     1,     0,     1
"117","13237","Putnam",  1177,  5,  5,  1037,    80,     5,     1,     2,     6,    19,    13,     3,     5,     4,     2
"118","13239","Quitman",   330,  2,  2,   256,    26,     8,     1,     2,    12,     7,    10,     2,     3,     3,     0
"119","13241","Rabun",   665,  1,  1,   571,    45,     2,     3,     2,     4,     6,    17,     4,     4,     6,     1
"120","13243","Randolph",  1262,  6,  6,   889,   119,    46,    15,    14,    33,    35,    39,    32,    23,    12,     5
"121","13245","Richmond", 28250, 68, 68, 25571,  1655,   100,   125,    26,   115,   160,   285,    69,    45,    78,    21
"122","13247","Rockdale", 15319, 16, 16, 13473,  1135,    74,    18,    28,   136,   113,   122,    84,    64,    54,    18
"123","13249","Schley",   199,  1,  1,   174,     9,     2,     1,     1,     2,     2,     4,     3,     0,     0,     1
"124","13251","Screven",  1411, 12, 12,  1088,    90,    26,    37,    11,    34,    19,    36,    38,    11,     7,    14
"125","13253","Seminole",   724,  5,  5,   627,    46,    12,     0,     5,     5,    12,     9,     3,     2,     1,     2
"126","13255","Spalding",  5064, 18, 18,  4473,   394,    40,     1,     4,    22,    26,    57,    17,    12,    17,     1
"127","13257","Stephens",   664,  1,  1,   565,    67,     1,     4,     1,     6,     4,     8,     1,     4,     3,     0
"128","13259","Stewart",   555,  4,  4,   473,    34,    11,     1,     3,     8,    10,     5,     4,     3,     2,     1
"129","13261","Sumter",  3343, 11, 11,  2888,   232,    51,    10,    10,    20,    31,    40,    14,    23,    22,     2
"130","13263","Talbot",  1328,  7,  7,  1150,    92,    18,     2,     1,     5,    22,    21,     7,     5,     4,     1
"131","13265","Taliaferro",   349,  2,  2,   297,    26,     3,     1,     5,     3,     2,     4,     2,     4,     1,     1
"132","13267","Tattnall",   661,  8,  8,   558,    46,    23,     8,     2,     1,     5,    12,     1,     2,     1,     2
"133","13269","Taylor",   662,  3,  3,   580,    44,     5,     1,     0,     9,    11,     8,     2,     1,     1,     0
"134","13271","Telfair",  1092,  6,  6,   868,    77,    29,     7,    10,    21,    17,    26,    14,    14,     6,     3
"135","13273","Terrell",  1204,  6,  6,  1004,    95,    22,     2,     9,    15,    14,    18,    14,     3,     4,     4
"136","13275","Thomas",  2747, 18, 18,  2441,   172,    22,     3,     9,    14,    25,    31,     3,     7,    19,     1
"137","13277","Tift",  2144, 12, 12,  1897,   140,    13,     1,     4,    14,    18,    33,     4,     7,    11,     2
"138","13279","Toombs",   939,  5,  5,   794,    71,     6,    15,     4,     7,    12,    13,     6,     8,     3,     0
"139","13281","Towns",   505,  3,  3,   430,    35,     3,     0,     0,     5,     8,    10,     4,     8,     2,     0
"140","13283","Treutlen",   247,  2,  2,   220,    14,     2,     2,     0,     1,     4,     4,     0,     0,     0,     0
"141","13285","Troup",  5062, 15, 15,  4413,   376,    43,     6,    16,    23,    44,    73,    16,    19,    29,     4
