"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.gabbardt","results.steyert","results.bookerc","results.yanga","results.bennetm","results.delaneyj","results.patrickd","results.klobuchara"
"77","17153","Pulaski",   383,  11,  11,   274,    86,     2,     5,     6,     0,     2,     5,     2,     1,     0,     0,     0
"78","17155","Putnam",   612,   8,   8,   425,   138,    12,     8,    10,    10,     2,     2,     1,     2,     1,     1,     0
"79","17157","Randolph",  1721,  37,  37,  1195,   417,    14,    19,    41,    14,     4,     6,     3,     4,     3,     1,     0
"80","17159","Richland",   772,  21,  21,   483,   237,     7,    12,    12,     9,     4,     3,     4,     0,     0,     1,     0
"81","17161","Rock Island", 15334, 120, 120,  9545,  4809,   264,   262,   156,   126,    63,    17,    63,    10,     3,    16,     0
"82","17165","Saline",  1328,  28,  28,   831,   395,    21,    12,    40,     5,     6,     5,     5,     2,     2,     4,     0
"83","17167","Sangamon", 17927, 180, 180, 11206,  5777,   175,   344,   277,    72,    10,    17,    29,     8,     5,     7,     0
"84","17169","Schuyler",   470,  17,  17,   328,   112,     3,    12,     8,     3,     1,     1,     0,     0,     2,     0,     0
"85","17171","Scott",   189,  10,  10,   117,    58,     2,     5,     5,     0,     0,     0,     0,     1,     0,     1,     0
"86","17173","Shelby",  1293,  33,  33,   895,   294,    12,    16,    37,     7,     6,    15,     0,     6,     2,     3,     0
"87","17163","St. Clair", 28914, 215, 215, 19680,  7426,   154,   376,   887,   139,    32,    48,    72,    34,    36,    30,     0
"88","17175","Stark",   324,   9,   9,   206,    99,     7,     1,     9,     1,     0,     1,     0,     0,     0,     0,     0
"89","17177","Stephenson",  3734,  40,  40,  2431,  1096,    42,    59,    66,    14,    10,     4,     5,     3,     2,     2,     0
"90","17179","Tazewell",  9878, 133, 135,  6169,  3176,   106,   149,   182,    37,    14,    10,    19,     8,     2,     6,     0
"91","17181","Union",  1352,  20,  20,   823,   439,    14,    28,    23,     7,     1,     8,     4,     1,     4,     0,     0
"92","17183","Vermilion",  4358,  84,  84,  2855,  1186,    60,    66,   126,    19,     8,    11,    11,    10,     2,     4,     0
