"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.yanga","results.delaneyj","results.williamsonm","results.bennetm","results.burkes","results.castroj","results.de_la_fuente_iiir","results.haasb","results.hewesh","results.patrickd","results.steinmanl","results.steinmanv","results.wellsr","results.uncommitted"
"93","29197","Schuyler",  202,  5,   5,  115,   61,    6,    0,    2,    5,    5,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    6
"94","29199","Scotland",  246,  8,   8,  132,   80,    6,    5,    3,    2,    5,    2,    0,    0,    1,    0,    0,    1,    0,    0,    1,    0,    0,    0,    0,    1,    7
"95","29201","Scott", 1898, 20,  20, 1188,  589,   20,   28,   17,    4,   10,    2,    4,    2,    3,    1,    1,    1,    0,    0,    1,    4,    1,    0,    2,    0,   20
"96","29203","Shannon",  465,  8,   8,  297,  110,    9,   10,    9,    7,    1,    2,    2,    4,    0,    3,    0,    1,    0,    0,    0,    0,    0,    0,    1,    0,    9
"97","29205","Shelby",  404,  7,   7,  270,  106,    3,    5,    3,    5,    3,    0,    2,    1,    1,    0,    0,    1,    0,    0,    0,    1,    1,    0,    0,    0,    2
"98","29183","St. Charles",27044, 71, 123,16819, 9435,  185,  215,  111,   51,   46,   14,   22,   40,    0,    6,    2,    3,    5,    4,   13,    1,    0,    1,    5,    0,   66
"99","29185","St. Clair",  542, 10,  10,  367,  140,    6,    5,    7,    1,    2,    2,    1,    2,    0,    0,    1,    1,    0,    0,    0,    1,    0,    0,    0,    0,    6
"100","29187","St. Francois",    0,  0,  22,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"101","29510","St. Louis City",19288, 60, 222,10591, 6833,  499,   74,  674,  188,   95,   25,   38,   29,    9,    8,   14,    3,    5,    4,   48,    7,    2,    8,   13,    4,  117
"102","29189","St. Louis County",55123,274,1246,32726,15363, 1254,  250, 3385,  815,  597,   68,   85,   74,   19,   10,   27,    4,    9,    5,   64,    3,    6,   11,   10,    4,  334
"103","29186","Ste. Genevieve", 1532, 13,  13, 1024,  428,   10,    9,   20,   11,    5,    1,    2,    4,    0,    2,    1,    2,    0,    0,    1,    0,    0,    0,    1,    1,   10
"104","29207","Stoddard",    0,  0,  13,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"105","29209","Stone", 1864, 22,  22, 1262,  491,   15,   24,   35,   11,    9,    4,    2,    4,    0,    0,    0,    0,    0,    0,    0,    1,    1,    0,    0,    0,    5
"106","29211","Sullivan",    0,  0,  14,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"107","29213","Taney",    0,  0,  22,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"108","29215","Texas",    0,  0,  11,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"109","29217","Vernon", 1053, 17,  17,  616,  333,   20,   11,   20,   15,   16,    2,    0,    1,    3,    1,    0,    0,    1,    0,    0,    2,    0,    1,    1,    0,   10
"110","29219","Warren",    0,  0,  21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"111","29221","Washington", 1048, 14,  14,  609,  371,   12,    8,   21,    5,    2,    2,    3,    1,    1,    2,    0,    0,    0,    0,    3,    1,    0,    1,    2,    1,    3
"112","29223","Wayne",    0,  0,  10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"113","29225","Webster", 1129,  9,  12,  715,  343,   12,   15,   23,    3,    1,    2,    1,    2,    0,    0,    0,    0,    0,    0,    2,    0,    1,    0,    0,    0,    9
"114","29227","Worth",  146,  8,   8,   94,   37,    1,    5,    2,    1,    1,    2,    0,    0,    0,    0,    0,    0,    1,    0,    0,    0,    1,    0,    0,    0,    1
"115","29229","Wright",  591, 11,  11,  378,  176,    7,    8,   12,    1,    2,    1,    0,    0,    1,    0,    0,    0,    0,    0,    1,    0,    0,    0,    1,    0,    3
