"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Buttigieg","Klobuchar","Warren","Biden","Yang","Gabbard","Steyer","Patrick","Bennet","Harris","O'Rourke","Booker","Williamson","Bloomberg","Castro","Delaney","Bullock","Sestak","Messam","de Blasio","Hickenlooper","Gillibrand","Inslee","Moulton","Gravel","Brown","McAuliffe","Swalwell","Kennedy","O'Malley","Zuckerberg","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"20",NA,"Boston Herald/FPU","126312","poll","1/29 - 2/1","","454 LV","","",Sanders,,+7.0,#457fff,2020-02-03 00:11:28,"https://www.scribd.com/document/445286062/FPU-Boston-Herald-NBC10-NH-poll-Jan-2020-Pre-Iowa-Tables",2020-01-29,2020-02-01,"1","Sanders","","+7.0","#457fff",31.0, 8.0, 4.0,17,24,1.0,3.0,0.0, 0,1.0,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"UMass Lowell","126313","poll","1/28 - 1/31","","400 LV","6.4","",Sanders,,+1.0,#457fff,2020-02-03 16:30:14,"https://www.uml.edu/docs/TOPLINE%20-%20UMass%20Lowell%20NH%20Dem%20Primary%2020200203_tcm18-321680.pdf",2020-01-28,2020-01-31,"1","Sanders","","+1.0","#457fff",23.0,12.0, 6.0,19,22,2.0,5.0,6.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"WCVB/UMass Amherst","126325","poll","1/17 - 1/29","","500 LV","5.3","",Sanders,,+5.0,#457fff,2020-02-04 23:01:04,"https://www.wcvb.com/article/exclusive-bernie-sanders-leads-in-wcvbumass-amherst-new-hampshire-primary-poll/30758126",2020-01-17,2020-01-29,"1","Sanders","","+5.0","#457fff",25.0,12.0, 5.0,17,20,4.0,5.0,5.0, 0,0.0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"Boston Herald/FPU","126192","poll","1/23 - 1/26","","407 LV","","",Sanders,,+7.0,#457fff,2020-01-27 14:49:09,"https://www.bostonherald.com/2020/01/27/bernie-sanders-surges-to-top-in-latest-poll/",2020-01-23,2020-01-26,"1","Sanders","","+7.0","#457fff",29.0,10.0, 5.0,16,22,1.0,3.0,0.0, 0,2.0,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"CNN/UNH","126156","poll","1/15 - 1/23","","516 LV","","",Sanders,,+9.0,#457fff,2020-01-26 09:02:16,"https://scholars.unh.edu/cgi/viewcontent.cgi?article=1571&amp;context=survey_center_polls",2020-01-15,2020-01-23,"1","Sanders","","+9.0","#457fff",25.0,15.0, 6.0,12,16,5.0,5.0,2.0, 0,0.0,NA,NA,NA,NA, 1,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,"NBC News/Marist","126176","poll","1/20 - 1/23","","697 LV","","",Sanders,,+5.0,#457fff,2020-01-26 10:04:39,"http://maristpoll.marist.edu/wp-content/uploads/2020/01/NBC-News_Marist-Poll_NH-NOS-and-Tables_2001241124.pdf",2020-01-20,2020-01-23,"1","Sanders","","+5.0","#457fff",22.0,17.0,10.0,13,15,5.0,6.0,3.0, 1,1.0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"WBUR/MassINC","126129","poll","1/17 - 1/21","","426 LV","4.8","",Sanders,,+12.0,#457fff,2020-01-23 08:10:00,"https://www.wbur.org/news/2020/01/23/new-hampshire-bernie-sanders-lead-january",2020-01-17,2020-01-21,"1","Sanders","","+12.0","#457fff",29.0,17.0, 6.0,13,14,5.0,5.0,2.0, 1,0.0,NA,NA,NA,NA, 1,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Boston Globe/Suffolk","126041","poll","1/15 - 1/19","","500 LV","4.4","",Sanders,,+1.0,#457fff,2020-01-21 08:40:54,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/1_21_2020_marginals_pdftxt.pdf?la=en&amp;hash=6CFFC77EA85499A852DCC54631E81976DA939EA5",2020-01-15,2020-01-19,"1","Sanders","","+1.0","#457fff",16.0,12.0, 5.0,10,15,6.0,5.0,3.0, 1,1.0,NA,NA,NA,NA,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"WHDH/Emerson","126018","poll","1/13 - 1/16","","657 LV","","",Sanders,,+5.0,#457fff,2020-01-16 21:48:32,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-sanders-holds-lead-klobuchar-surges-to-double-digits",2020-01-13,2020-01-16,"1","Sanders","","+5.0","#457fff",23.0,18.0,10.0,14,14,6.0,5.0,4.0, 0,0.0,NA,NA,NA,NA, 0,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Boston Herald/FPU","125923","poll","1/8 - 1/12","","434 LV","4.7","",Biden,,+4.0,#009900,2020-01-13 15:47:46,"https://www.bostonherald.com/2020/01/13/joe-biden-pulls-ahead-in-new-hampshire-elizabeth-warren-drops-to-third-poll/",2020-01-08,2020-01-12,"1","Biden","","+4.0","#009900",22.0, 7.0, 2.0,18,26,2.0,4.0,2.0, 0,0.0,NA,NA, 1, 0, 4,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
